sku;name;short_description;description;category_id;category;subcategory_id;subcategory;tags;brand;manufacturer;country_of_origin;price_net;price_gross;vat_rate;currency;voltage_v;current_a;power_w;ip_rating;mounting;modules_din;color;material;operating_temp_min_c;operating_temp_max_c;certificates
IV-015-01134;Czujnik wycieku wody ORNO OR-1134K Wi-Fi;Czujnik zalania Wi-Fi, IP IP65.;Czujnik zalania wykrywający obecność wody. Wyjście: Wi-Fi. Zasilanie 24 V, bateria CR2032. Stopień ochrony IP65. Idealny do łazienek, kotłowni i pralni.;1;Automatyka domowa;15;Czujniki zalania;zalanie, wyciek, smart home;ORNO;ORNO Sp. z o.o.;PL;53,74;66,10;23;PLN;24;0,50;;IP65;podłogowy;;biały;poliwęglan;-10;50;CE, RoHS
IV-015-01212;Czujnik zalania ABB AB-1212E alarm akustyczny;Czujnik zalania alarm akustyczny, IP IP67.;Czujnik zalania wykrywający obecność wody. Wyjście: alarm akustyczny. Zasilanie 24 V, bateria CR2032. Stopień ochrony IP67. Idealny do łazienek, kotłowni i pralni.;1;Automatyka domowa;15;Czujniki zalania;zalanie, wyciek, smart home;ABB;ABB Sp. z o.o.;CH;106,21;130,64;23;PLN;24;0,50;;IP67;natynkowy;;szary;PC + ABS;-10;50;CE, RoHS
IV-015-01025;Czujnik wycieku wody OSPEL OP-1025C alarm akustyczny;Czujnik zalania alarm akustyczny, IP IP68.;Czujnik zalania wykrywający obecność wody. Wyjście: alarm akustyczny. Zasilanie 12 V, bateria AA. Stopień ochrony IP68. Idealny do łazienek, kotłowni i pralni.;1;Automatyka domowa;15;Czujniki zalania;zalanie, wyciek, smart home;OSPEL;OSPEL S.A.;PL;58,32;71,73;23;PLN;12;5;;IP68;natynkowy;;biały;tworzywo ABS;0;50;CE, RoHS, EMC
IV-022-01696;Programator gniazdkowy HAGER HG-1696D tygodniowy;Programator gniazdkowy tygodniowy, 20 progr.;Włącznik czasowy do gniazdka 230 V. 20 programów, tryb tygodniowy, wyświetlacz analog. tarcza. Pozwala na automatyczne sterowanie dowolnym urządzeniem z wtyczką. Maksymalne obciążenie 16 A.;2;Programatory czasowe;22;Gniazdowe;programator, gniazdkowy, wtyczka;HAGER;Hager Polo Sp. z o.o.;DE;55,96;68,83;23;PLN;230;16;;IP20;gniazdkowy;;czarny;tworzywo ABS;0;40;CE, RoHS, EMC
IV-022-01527;Programator gniazdkowy ZAMEL ZM-1527B dobowy;Programator gniazdkowy dobowy, 16 progr.;Włącznik czasowy do gniazdka 230 V. 16 programów, tryb dobowy, wyświetlacz analog. tarcza. Pozwala na automatyczne sterowanie dowolnym urządzeniem z wtyczką. Maksymalne obciążenie 16 A.;2;Programatory czasowe;22;Gniazdowe;programator, gniazdkowy, wtyczka;ZAMEL;ZAMEL Sp. z o.o.;PL;29,41;36,17;23;PLN;230;16;;IP44;gniazdkowy;;szary;tworzywo ABS;0;40;CE, RoHS
IV-022-01552;Programator gniazdkowy THEBEN TH-1552S tygodniowy;Programator gniazdkowy tygodniowy, 20 progr.;Włącznik czasowy do gniazdka 230 V. 20 programów, tryb tygodniowy, wyświetlacz LCD. Pozwala na automatyczne sterowanie dowolnym urządzeniem z wtyczką. Maksymalne obciążenie 16 A.;2;Programatory czasowe;22;Gniazdowe;programator, gniazdkowy, wtyczka;THEBEN;Theben AG;DE;39,08;48,07;23;PLN;230;16;;IP20;gniazdkowy;;czarny;poliwęglan;0;40;CE, RoHS
IV-022-01743;Programator gniazdkowy ZAMEL ZM-1743X tygodniowy;Programator gniazdkowy tygodniowy, 20 progr.;Włącznik czasowy do gniazdka 230 V. 20 programów, tryb tygodniowy, wyświetlacz LCD. Pozwala na automatyczne sterowanie dowolnym urządzeniem z wtyczką. Maksymalne obciążenie 16 A.;2;Programatory czasowe;22;Gniazdowe;programator, gniazdkowy, wtyczka;ZAMEL;ZAMEL Sp. z o.o.;PL;31,22;38,40;23;PLN;230;16;;IP20;gniazdkowy;;szary;poliwęglan;0;40;CE, RoHS
IV-023-01928;Włącznik czasowy natynkowy ORNO OR-1928E IP44;Programator natynkowy IP44, 4 progr.;Natynkowy programator czasowy w hermetycznej obudowie IP44. 4 programów, tryb tygodniowy. Zasilanie 230 V, obciążalność 16 A. Idealny do garaży, warsztatów i instalacji zewnętrznych.;2;Programatory czasowe;23;Natynkowe;programator, natynkowy, hermetyczny;ORNO;ORNO Sp. z o.o.;PL;94,16;115,82;23;PLN;230;16;;IP44;natynkowy;;czarny;PC + ABS;-20;50;CE, RoHS, EMC
IV-023-01752;Włącznik czasowy natynkowy FINDER FN-1752P IP54;Programator natynkowy IP54, 4 progr.;Natynkowy programator czasowy w hermetycznej obudowie IP54. 4 programów, tryb tygodniowy. Zasilanie 230 V, obciążalność 10 A. Idealny do garaży, warsztatów i instalacji zewnętrznych.;2;Programatory czasowe;23;Natynkowe;programator, natynkowy, hermetyczny;FINDER;Finder S.p.A.;IT;136,52;167,92;23;PLN;230;10;;IP54;natynkowy;;biały;poliwęglan;-20;50;CE, RoHS
IV-023-01934;Włącznik czasowy natynkowy F&F FF-1934P IP44;Programator natynkowy IP44, 4 progr.;Natynkowy programator czasowy w hermetycznej obudowie IP44. 4 programów, tryb dobowy. Zasilanie 230 V, obciążalność 16 A. Idealny do garaży, warsztatów i instalacji zewnętrznych.;2;Programatory czasowe;23;Natynkowe;programator, natynkowy, hermetyczny;F&F;F&F Filipowski sp.j.;PL;91,92;113,06;23;PLN;230;16;;IP44;natynkowy;;biały;PC + ABS;-20;50;CE, RoHS, EMC
IV-024-02232;Zegar astronomiczny LEGRAND LG-2232R 2-kan.;Zegar astronomiczny 2 kanały, GPS: tak.;Programator astronomiczny obliczający czasy wschodu i zachodu słońca dla wybranej lokalizacji. Liczba kanałów: 2, GPS: tak, wyświetlacz LCD. Zasilanie 230 V, obciążalność 10 A. Idealny do oświetlenia ulicznego i parkowego.;2;Programatory czasowe;24;Astronomiczne;astronomiczny, wschód słońca, DIN, oświetlenie zewnętrzne;LEGRAND;Legrand Polska Sp. z o.o.;FR;403,59;496,42;23;PLN;230;10;;IP20;szyna DIN;1;szary;PC + ABS;-10;50;CE, RoHS, EMC
IV-024-02001;Sterownik astronomiczny FINDER FN-2001E 1-kan.;Zegar astronomiczny 1 kanały, GPS: tak.;Programator astronomiczny obliczający czasy wschodu i zachodu słońca dla wybranej lokalizacji. Liczba kanałów: 1, GPS: tak, wyświetlacz LCD. Zasilanie 230 V, obciążalność 16 A. Idealny do oświetlenia ulicznego i parkowego.;2;Programatory czasowe;24;Astronomiczne;astronomiczny, wschód słońca, DIN, oświetlenie zewnętrzne;FINDER;Finder S.p.A.;IT;418,47;514,72;23;PLN;230;16;;IP20;szyna DIN;2;szary;PC + ABS;-10;50;CE
IV-024-02051;Zegar astronomiczny ORNO OR-2051S 2-kan.;Zegar astronomiczny 2 kanały, GPS: tak.;Programator astronomiczny obliczający czasy wschodu i zachodu słońca dla wybranej lokalizacji. Liczba kanałów: 2, GPS: tak, wyświetlacz OLED. Zasilanie 230 V, obciążalność 10 A. Idealny do oświetlenia ulicznego i parkowego.;2;Programatory czasowe;24;Astronomiczne;astronomiczny, wschód słońca, DIN, oświetlenie zewnętrzne;ORNO;ORNO Sp. z o.o.;PL;255,40;314,14;23;PLN;230;10;;IP20;szyna DIN;1;szary;PC + ABS;-10;50;CE
IV-025-02372;Przekaźnik czasowy ORNO OR-2372E wieloFunkcyjny;Przekaźnik czasowy wieloFunkcyjny, 0,1s-100h.;Przekaźnik czasowy z funkcją wieloFunkcyjny. Zakres nastaw: 0,1s-100h. Zasilanie 12 V, obciążalność styków 10 A. Montaż na szynie DIN. Stosowany w automatyce przemysłowej i domowej.;2;Programatory czasowe;25;Przekaźniki czasowe;przekaźnik, czasowy, DIN, automatyka;ORNO;ORNO Sp. z o.o.;PL;83,51;102,72;23;PLN;12;10;;IP20;szyna DIN;1;czarny;poliwęglan;-20;60;CE, RoHS, EMC
IV-025-02373;Czasowy przekaźnik DIN F&F FF-2373H impulsowy;Przekaźnik czasowy impulsowy, 0,1s-100h.;Przekaźnik czasowy z funkcją impulsowy. Zakres nastaw: 0,1s-100h. Zasilanie 12 V, obciążalność styków 16 A. Montaż na szynie DIN. Stosowany w automatyce przemysłowej i domowej.;2;Programatory czasowe;25;Przekaźniki czasowe;przekaźnik, czasowy, DIN, automatyka;F&F;F&F Filipowski sp.j.;PL;82,43;101,39;23;PLN;12;16;;IP20;szyna DIN;1;czarny;PC + ABS;-20;60;CE, RoHS, EMC
IV-025-02396;Przekaźnik czasowy LEGRAND LG-2396R opóźnienie załączenia;Przekaźnik czasowy opóźnienie załączenia, 0,1s-100h.;Przekaźnik czasowy z funkcją opóźnienie załączenia. Zakres nastaw: 0,1s-100h. Zasilanie 230 V, obciążalność styków 10 A. Montaż na szynie DIN. Stosowany w automatyce przemysłowej i domowej.;2;Programatory czasowe;25;Przekaźniki czasowe;przekaźnik, czasowy, DIN, automatyka;LEGRAND;Legrand Polska Sp. z o.o.;FR;138,95;170,91;23;PLN;230;10;;IP20;szyna DIN;1;szary;tworzywo ABS;-20;60;CE, RoHS, EMC
IV-031-02693;Kamera IP kopułowa DSC DC-2693M 2MP 2.8-12 (motozoom)mm;Kamera IP 2 MP, IR 20 m, IP66.;Kamera IP o rozdzielczości 2 MP, obiektyw 2.8-12 (motozoom) mm, zasięg promienników IR do 20 m. Zasilanie 24 V (lub PoE), pobór 12 W. Stopień ochrony IP66, zakres temperatur -25–50°C. Wsparcie ONVIF.;3;Alarmy i CCTV;31;Kamery IP;kamera, IP, CCTV, monitoring, PoE;DSC;DSC (Tyco/Johnson Controls);CA;486,47;598,36;23;PLN;24;;12;IP66;sufitowy;;biały;aluminium;-25;50;CE, RoHS, EMC
IV-031-02607;Kamera IP DAHUA DH-2607T 5MP 6mm;Kamera IP 5 MP, IR 20 m, IP66.;Kamera IP o rozdzielczości 5 MP, obiektyw 6 mm, zasięg promienników IR do 20 m. Zasilanie 12 V (lub PoE), pobór 6 W. Stopień ochrony IP66, zakres temperatur -30–60°C. Wsparcie ONVIF.;3;Alarmy i CCTV;31;Kamery IP;kamera, IP, CCTV, monitoring, PoE;DAHUA;Dahua Technology;CN;471,87;580,40;23;PLN;12;;6;IP66;natynkowy;;czarny;aluminium;-30;60;CE
IV-031-02621;Kamera IP kopułowa DSC DC-2621B 8MP 6mm;Kamera IP 8 MP, IR 50 m, IP67.;Kamera IP o rozdzielczości 8 MP, obiektyw 6 mm, zasięg promienników IR do 50 m. Zasilanie 12 V (lub PoE), pobór 6 W. Stopień ochrony IP67, zakres temperatur -25–50°C. Wsparcie ONVIF.;3;Alarmy i CCTV;31;Kamery IP;kamera, IP, CCTV, monitoring, PoE;DSC;DSC (Tyco/Johnson Controls);CA;499,92;614,90;23;PLN;12;;6;IP67;natynkowy;;szary;tworzywo ABS;-25;50;CE
IV-033-03109;Czujka pasywna podczerwieni HIKVISION DS-3109E 10m;Czujka PIR 10 m, pet immunity 40 kg.;Czujka pasywnej podczerwieni do systemów alarmowych. Kąt detekcji 90°, zasięg do 10 m. Odporność na zwierzęta do 40 kg. Zasilanie 12 V DC, pobór 0.03 A.;3;Alarmy i CCTV;33;Czujki PIR;alarm, PIR, czujka, pet immunity;HIKVISION;Hangzhou Hikvision Digital Technology;CN;94,88;116,70;23;PLN;12;0,03;;IP30;natynkowy;;biały;poliwęglan;-10;55;CE
IV-033-03205;Czujnik ruchu PIR alarmowy DAHUA DH-3205X 18m;Czujka PIR 18 m, pet immunity 0 kg.;Czujka pasywnej podczerwieni do systemów alarmowych. Kąt detekcji 110°, zasięg do 18 m. Odporność na zwierzęta do 0 kg. Zasilanie 12 V DC, pobór 0.05 A.;3;Alarmy i CCTV;33;Czujki PIR;alarm, PIR, czujka, pet immunity;DAHUA;Dahua Technology;CN;117,60;144,65;23;PLN;12;0,05;;IP30;natynkowy;;biały;poliwęglan;-10;55;CE, RoHS
IV-033-03204;Czujnik ruchu PIR alarmowy HIKVISION DS-3204K 12m;Czujka PIR 12 m, pet immunity 15 kg.;Czujka pasywnej podczerwieni do systemów alarmowych. Kąt detekcji 360°, zasięg do 12 m. Odporność na zwierzęta do 15 kg. Zasilanie 12 V DC, pobór 0.03 A.;3;Alarmy i CCTV;33;Czujki PIR;alarm, PIR, czujka, pet immunity;HIKVISION;Hangzhou Hikvision Digital Technology;CN;110,31;135,68;23;PLN;12;0,03;;IP41;sufitowy;;biały;PC + ABS;-10;55;CE, RoHS, EMC
IV-034-03394;Panel alarmowy AJAX AJ-3394A 128 stref;Centrala alarmowa 128 stref, GSM + Ethernet.;Centrala alarmowa obsługująca 128 stref przewodowych i 4 wyjść programowalnych. Komunikacja: GSM + Ethernet. Zasilanie 12 V, pobór 10 W. Aplikacja mobilna do zdalnego sterowania.;3;Alarmy i CCTV;34;Centrale alarmowe;alarm, centrala, GSM, monitoring;AJAX;Ajax Systems;UA;1131,55;1391,81;23;PLN;12;;10;IP20;natynkowy;;szary;metal lakierowany;-10;55;CE
IV-034-03284;Panel alarmowy DAHUA DH-3284K 64 stref;Centrala alarmowa 64 stref, Ethernet.;Centrala alarmowa obsługująca 64 stref przewodowych i 8 wyjść programowalnych. Komunikacja: Ethernet. Zasilanie 12 V, pobór 10 W. Aplikacja mobilna do zdalnego sterowania.;3;Alarmy i CCTV;34;Centrale alarmowe;alarm, centrala, GSM, monitoring;DAHUA;Dahua Technology;CN;815,88;1003,53;23;PLN;12;;10;IP20;natynkowy;;szary;tworzywo ABS;-10;55;CE
IV-034-03271;Centrala alarmowa SATEL ST-3271P 32 stref;Centrala alarmowa 32 stref, GSM.;Centrala alarmowa obsługująca 32 stref przewodowych i 4 wyjść programowalnych. Komunikacja: GSM. Zasilanie 12 V, pobór 40 W. Aplikacja mobilna do zdalnego sterowania.;3;Alarmy i CCTV;34;Centrale alarmowe;alarm, centrala, GSM, monitoring;SATEL;SATEL Sp. z o.o.;PL;1081,54;1330,29;23;PLN;12;;40;IP20;natynkowy;;szary;metal lakierowany;-10;55;CE, RoHS, EMC
IV-035-03525;Rejestrator DVR ORNO OR-3525G 64-kan. 12MP;Rejestrator 64 kan., 12MP, 4 HDD.;Rejestrator obrazu na 64 kanałów, do 12MP. Liczba kieszeni HDD: 4. Zasilanie 12 V, pobór 30 W. Zdalny podgląd przez aplikację mobilną. Wsparcie ONVIF.;3;Alarmy i CCTV;35;Rejestratory NVR/DVR;rejestrator, NVR, DVR, monitoring;ORNO;ORNO Sp. z o.o.;PL;763,53;939,14;23;PLN;12;;30;IP20;rack 1U;;szary;metal lakierowany;0;50;CE
IV-035-03523;Rejestrator DVR AJAX AJ-3523S 4-kan. 4MP;Rejestrator 4 kan., 4MP, 4 HDD.;Rejestrator obrazu na 4 kanałów, do 4MP. Liczba kieszeni HDD: 4. Zasilanie 230 V, pobór 80 W. Zdalny podgląd przez aplikację mobilną. Wsparcie ONVIF.;3;Alarmy i CCTV;35;Rejestratory NVR/DVR;rejestrator, NVR, DVR, monitoring;AJAX;Ajax Systems;UA;1288,16;1584,44;23;PLN;230;;80;IP20;wolnostojący;;czarny;metal lakierowany;-10;55;CE, RoHS
IV-035-03551;Rejestrator hybrydowy PARADOX PX-3551Z 4-kan. 12MP;Rejestrator 4 kan., 12MP, 8 HDD.;Rejestrator obrazu na 4 kanałów, do 12MP. Liczba kieszeni HDD: 8. Zasilanie 230 V, pobór 20 W. Zdalny podgląd przez aplikację mobilną. Wsparcie ONVIF.;3;Alarmy i CCTV;35;Rejestratory NVR/DVR;rejestrator, NVR, DVR, monitoring;PARADOX;Paradox Security Systems;CA;1213,98;1493,20;23;PLN;230;;20;IP20;wolnostojący;;czarny;metal lakierowany;0;50;CE, RoHS, EMC
IV-035-03612;Rejestrator NVR DSC DC-3612R 4-kan. 4MP;Rejestrator 4 kan., 4MP, 4 HDD.;Rejestrator obrazu na 4 kanałów, do 4MP. Liczba kieszeni HDD: 4. Zasilanie 12 V, pobór 20 W. Zdalny podgląd przez aplikację mobilną. Wsparcie ONVIF.;3;Alarmy i CCTV;35;Rejestratory NVR/DVR;rejestrator, NVR, DVR, monitoring;DSC;DSC (Tyco/Johnson Controls);CA;1049,31;1290,65;23;PLN;12;;20;IP20;wolnostojący;;czarny;metal lakierowany;-10;55;CE, RoHS
IV-041-03942;Zestaw bramofonowy ORNO OR-3942A 1 przycisk;Bramofon 1-rodzinny, 1 przyc., kamera: nie.;Bramofon jednorodzinny z 1 przyciskami wywołania. Audio: tak, kamera: nie. Zasilanie 24 V DC, pobór 0.5 A. Obudowa IP44, montaż podtynkowy.;4;Bramofony i wideodomofony;41;Bramofony jednorodzinne;bramofon, jednorodzinny, audio;ORNO;ORNO Sp. z o.o.;PL;252,96;311,14;23;PLN;24;0,50;;IP44;podtynkowy;;szary;stal nierdzewna;-25;55;CE
IV-041-03818;Bramofon jednorodzinny COMMAX CM-3818S 1 przycisk;Bramofon 1-rodzinny, 1 przyc., kamera: nie.;Bramofon jednorodzinny z 1 przyciskami wywołania. Audio: tak, kamera: nie. Zasilanie 24 V DC, pobór 0.5 A. Obudowa IP44, montaż podtynkowy.;4;Bramofony i wideodomofony;41;Bramofony jednorodzinne;bramofon, jednorodzinny, audio;COMMAX;COMMAX Co. Ltd.;KR;331,80;408,11;23;PLN;24;0,50;;IP44;podtynkowy;;antracyt;stal nierdzewna;-25;55;CE
IV-041-03906;Zestaw bramofonowy GENWAY GW-3906Z 2 przycisk;Bramofon 1-rodzinny, 2 przyc., kamera: tak.;Bramofon jednorodzinny z 2 przyciskami wywołania. Audio: tak, kamera: tak. Zasilanie 12 V DC, pobór 1 A. Obudowa IP44, montaż podtynkowy.;4;Bramofony i wideodomofony;41;Bramofony jednorodzinne;bramofon, jednorodzinny, audio;GENWAY;Genway Electric;CN;332,75;409,28;23;PLN;12;1;;IP44;podtynkowy;;srebrny;aluminium;-20;50;CE, RoHS, EMC
IV-042-04032;Bramofon wielolokatorski ACO AC-4032A 8 lokali;Bramofon wielolokatorski, 8 lokali.;Bramofon wielolokatorski na 8 lokali, adresowanie analogowe, kamera: nie. Zasilanie 12 V DC. Obudowa IP54. Idealny do bloków mieszkalnych i biur.;4;Bramofony i wideodomofony;42;Bramofony wielolokatorskie;bramofon, wielolokatorski, block, biuro;ACO;ACO Sp. z o.o.;PL;885,14;1088,72;23;PLN;12;1;;IP54;podtynkowy;;antracyt;aluminium;-25;55;CE, RoHS, EMC
IV-042-04099;Panel bramofonowy ACO AC-4099A 32 lokali;Bramofon wielolokatorski, 32 lokali.;Bramofon wielolokatorski na 32 lokali, adresowanie analogowe, kamera: nie. Zasilanie 24 V DC. Obudowa IP54. Idealny do bloków mieszkalnych i biur.;4;Bramofony i wideodomofony;42;Bramofony wielolokatorskie;bramofon, wielolokatorski, block, biuro;ACO;ACO Sp. z o.o.;PL;862,23;1060,54;23;PLN;24;1;;IP54;natynkowy;;czarny;aluminium;-25;55;CE
IV-042-04001;Panel bramofonowy GENWAY GW-4001X 8 lokali;Bramofon wielolokatorski, 8 lokali.;Bramofon wielolokatorski na 8 lokali, adresowanie analogowe, kamera: nie. Zasilanie 12 V DC. Obudowa IP54. Idealny do bloków mieszkalnych i biur.;4;Bramofony i wideodomofony;42;Bramofony wielolokatorskie;bramofon, wielolokatorski, block, biuro;GENWAY;Genway Electric;CN;904,64;1112,71;23;PLN;12;1;;IP54;podtynkowy;;czarny;aluminium;-25;55;CE, RoHS, EMC
IV-043-04358;"Wideodomofon URMET UR-4358K 10""";"Wideodomofon 10"", Wi-Fi: tak.";"Wideodomofon z monitorem 10"". Wi-Fi: tak, pamięć: brak. Zasilanie 230 V, pobór 5 W. Stopień ochrony panelu zewnętrznego IP54. Aplikacja mobilna do zdalnej obsługi.";4;Bramofony i wideodomofony;43;Wideodomofony;wideodomofon, monitor, Wi-Fi;URMET;Urmet S.p.A.;IT;768,95;945,81;23;PLN;230;;5;IP54;natynkowy;;srebrny;aluminium;-20;50;CE
IV-043-04400;"Zestaw wideodomofonowy AIPHONE AI-4400K 4.3""";"Wideodomofon 4.3"", Wi-Fi: nie.";"Wideodomofon z monitorem 4.3"". Wi-Fi: nie, pamięć: wbudowana. Zasilanie 12 V, pobór 12 W. Stopień ochrony panelu zewnętrznego IP54. Aplikacja mobilna do zdalnej obsługi.";4;Bramofony i wideodomofony;43;Wideodomofony;wideodomofon, monitor, Wi-Fi;AIPHONE;Aiphone Co. Ltd.;JP;991,15;1219,11;23;PLN;12;;12;IP54;natynkowy;;biały;tworzywo ABS;-20;50;CE
IV-043-04370;"Zestaw wideodomofonowy URMET UR-4370L 10""";"Wideodomofon 10"", Wi-Fi: nie.";"Wideodomofon z monitorem 10"". Wi-Fi: nie, pamięć: karta SD. Zasilanie 230 V, pobór 5 W. Stopień ochrony panelu zewnętrznego IP44. Aplikacja mobilna do zdalnej obsługi.";4;Bramofony i wideodomofony;43;Wideodomofony;wideodomofon, monitor, Wi-Fi;URMET;Urmet S.p.A.;IT;820,95;1009,77;23;PLN;230;;5;IP44;podtynkowy;;czarny;tworzywo ABS;-20;50;CE
IV-043-04469;"Wideodomofon COMMAX CM-4469B 4.3""";"Wideodomofon 4.3"", Wi-Fi: tak.";"Wideodomofon z monitorem 4.3"". Wi-Fi: tak, pamięć: karta SD. Zasilanie 230 V, pobór 5 W. Stopień ochrony panelu zewnętrznego IP65. Aplikacja mobilna do zdalnej obsługi.";4;Bramofony i wideodomofony;43;Wideodomofony;wideodomofon, monitor, Wi-Fi;COMMAX;COMMAX Co. Ltd.;KR;782,28;962,20;23;PLN;230;;5;IP65;natynkowy;;biały;aluminium;-20;50;CE
